Date,S&P500,Industrials,Health Care,Information Technology,Consumer Discretionary,Utilities,Financials,Materials,Real Estate,Consumer Staples,Energy,Telecommunication Services
2005-05-31,28.533522902116395,27.47820115238095,28.32933664327486,22.649550690879742,24.290966318972032,20.13490209700176,53.708406800334174,25.58171964172335,24.727082254464285,23.624345006568145,23.427188611992943,18.044376321428572
2005-06-30,29.638098007680995,27.845653671900823,28.544401546251986,24.231680659476126,25.77070650505049,20.967106530303028,55.32569105342903,26.450333653679657,26.174830227272736,23.72153319278997,25.933466885521884,19.758321318181817
2005-07-31,30.69478249852285,28.43450876636364,29.181154149122808,25.00023997966102,26.805825253983524,21.779592490740743,57.91388157719301,27.020684247619048,27.885799167187496,23.65081453965517,27.7481513037037,19.4846597125
2005-08-31,30.856367968409128,28.761263661660067,30.11891282684973,24.88760335151069,26.554090027424753,21.683942049919484,58.25537261556064,26.142468248880107,27.62491457201087,23.5307013778111,29.28917956038647,19.1179352173913
2005-09-30,31.131732311403486,28.605770516369052,30.443102784461157,25.454341874091998,25.608912087179494,22.462086770723104,58.40427352832513,25.93783325974026,28.139344010416664,23.260943807881773,32.14959223104057,19.575388202380953
2005-10-31,30.605907082815754,28.26110652465987,29.71612962071847,25.572488221953172,24.495544339926745,21.414626992945333,59.054307097701134,25.475554162337666,27.144303212797617,22.914955444991786,29.87032007936507,19.695276857142858
2005-11-30,32.34194372805615,30.151356365646258,31.248966512949053,28.304588610169496,25.584381092171718,21.176580530864204,62.836294182566604,26.50178601298701,28.649139081845238,23.248974912972084,29.816677855379186,23.690778833333333
2005-12-31,33.15715420031373,31.170934972789123,32.1251974845447,29.011157259079894,26.37153312192246,21.761753569664897,63.676193083131544,27.686086484848484,29.621426163690472,23.460632482758616,31.498400832451495,22.54803205952381
2006-01-31,34.08253212963802,31.79778555535714,32.97316667192982,30.376597075423724,26.86927891449275,22.219520475925925,64.72988852288137,28.83276891818182,31.272989968750007,23.46083590862069,33.683519805555555,23.74834765
2006-02-28,34.213762384586246,33.06037003699215,33.25667397045246,29.13255064406779,26.895455697940502,22.027025489278753,65.14087619625332,30.02733946411483,32.24133177138158,23.567317898366607,32.07033049122807,25.220553013157897
